mant_id,cliente_cuit,sucursal_id,sucursal_nombre,zonal_nombre,ciclo,comienzo_contrato,final_contrato,precio_sin_iva,precio_con_iva,emails
,30500010912,0010,Abasto,CABA Sur,2023/2024,01/02/2024,31/01/2025,684700.00,828487.00,"0010ger@bna.com.ar,0010pop@bna.com.ar"
,30500010912,0012,Almagro,CABA Sur,2023/2024,01/02/2024,31/01/2025,382600.00,462946.00,"0012ger@bna.com.ar,0012pop@bna.com.ar"
,30500010912,0015,Av. De Mayo,CABA Sur,2023/2024,01/02/2024,31/01/2025,286700.00,346907.00,"0015ger@bna.com.ar,0015pop@bna.com.ar"
,30500010912,0096,Avda. Corrientes,CABA Sur,2023/2024,01/02/2024,31/01/2025,350100.00,423621.00,"0096ger@bna.com.ar,0096pop@bna.com.ar"
,30500010912,0026,Barracas,CABA Sur,2023/2024,01/02/2024,31/01/2025,242000.00,292820.00,"0026ger@bna.com.ar,0026pop@bna.com.ar"
,30500010912,0034,Boca del Riachuelo,CABA Sur,2023/2024,01/02/2024,31/01/2025,480300.00,581163.00,"0034ger@bna.com.ar,0034pop@bna.com.ar"
,30500010912,0046,Carlos Calvo & Anexo,CABA Sur,2023/2024,01/02/2024,31/01/2025,489600.00,592416.00,"0046ger@bna.com.ar,0046pop@bna.com.ar"
,30500010912,0048,Carlo Pellegrini,CABA Sur,2023/2024,01/02/2024,31/01/2025,259100.00,313511.00,"0048ger@bna.com.ar,0048pop@bna.com.ar"
,30500010912,0050,Congreso + Anexos,CABA Sur,2023/2024,01/02/2024,31/01/2025,1169400.00,1414974.00,"0050ger@bna.com.ar,0050pop@bna.com.ar"
,30500010912,0059,Florida & Anexo,CABA Sur,2023/2024,01/02/2024,31/01/2025,1226000.00,1483460.00,"0059ger@bna.com.ar,0059pop@bna.com.ar"
,30500010912,0007,Lavalle,CABA Sur,2023/2024,01/02/2024,31/01/2025,320600.00,387926.00,"0007ger@bna.com.ar,0007pop@bna.com.ar"
,30500010912,0066,Monserrat & Anexo,CABA Sur,2023/2024,01/02/2024,31/01/2025,688800.00,833448.00,"0066ger@bna.com.ar,0066pop@bna.com.ar"
,30500010912,0086,Plaza Miserere,CABA Sur,2023/2024,01/02/2024,31/01/2025,542800.00,656788.00,"0086ger@bna.com.ar,0086pop@bna.com.ar"
,30500010912,0087,Plaza San Martin,CABA Sur,2023/2024,01/02/2024,31/01/2025,398600.00,482306.00,"0087ger@bna.com.ar,0087pop@bna.com.ar"
,30500010912,0089,Tribunales ,CABA Sur,2023/2024,01/02/2024,31/01/2025,749100.00,906411.00,"0089ger@bna.com.ar,0089pop@bna.com.ar"
,30500010912,1033,Adrogue,PBA Sur,2023/2024,01/03/2024,28/02/2025,313664.40,379533.92,"1033ger@bna.com.ar,1033pop@bna.com.ar"
,30500010912,1100,Avellaneda,PBA Sur,2023/2024,01/03/2024,28/02/2025,499539.60,604442.92,"1100ger@bna.com.ar,1100pop@bna.com.ar"
,30500010912,1115,Avenida 13 - La Plata,PBA Sur,2023/2024,01/03/2024,28/02/2025,232344.00,281136.24,"1115ger@bna.com.ar,1115pop@bna.com.ar"
,30500010912,3853,Avenida 60 - La Plata,PBA Sur,2023/2024,01/03/2024,28/02/2025,267195.60,323306.68,"3853ger@bna.com.ar,3853pop@bna.com.ar"
,30500010912,1157,Banfield,PBA Sur,2023/2024,01/03/2024,28/02/2025,540199.80,653641.76,"1157ger@bna.com.ar,1157pop@bna.com.ar"
,30500010912,1222,Berazategui,PBA Sur,2023/2024,01/03/2024,28/02/2025,394984.80,477931.61,"1222ger@bna.com.ar,1222pop@bna.com.ar"
,30500010912,1222,Anexo Operativo Berazategui,PBA Sur,2023/2024,01/03/2024,28/02/2025,290430.00,351420.30,"1222ger@bna.com.ar,1222pop@bna.com.ar"
,30500010912,9214,Bernal,PBA Sur,2023/2024,01/03/2024,28/02/2025,522774.00,632556.54,"9214ger@bna.com.ar,9214pop@bna.com.ar"
,30500010912,1241,Brandsen,PBA Sur,2023/2024,01/03/2024,28/02/2025,319473.00,386562.33,"1241ger@bna.com.ar,1241pop@bna.com.ar"
,30500010912,1250,Burzaco,PBA Sur,2023/2024,01/03/2024,28/02/2025,226535.40,274107.83,"1250ger@bna.com.ar,1250pop@bna.com.ar"
,30500010912,1250,Anex.Op. Burzaco,PBA Sur,2023/2024,01/03/2024,28/02/2025,441453.60,534158.86,"1250ger@bna.com.ar,1250pop@bna.com.ar"
,30500010912,3857,Calle 4 - La Plata,PBA Sur,2023/2024,01/03/2024,28/02/2025,249769.80,302221.46,"3857ger@bna.com.ar,3857pop@bna.com.ar"
,30500010912,1274,Calle 12 - La Plata,PBA Sur,2023/2024,01/03/2024,28/02/2025,505348.20,611471.32,"1274ger@bna.com.ar,1274pop@bna.com.ar"
,30500010912,1654,Dardo Rocha  - La Plata,PBA Sur,2023/2024,01/03/2024,28/02/2025,418219.20,506045.23,"1654ger@bna.com.ar,1654pop@bna.com.ar"
,30500010912,1720,Ensenada,PBA Sur,2023/2024,01/03/2024,28/02/2025,389452.80,471237.89,"1720ger@bna.com.ar,1720pop@bna.com.ar"
,30500010912,1850,General Belgrano,PBA Sur,2023/2024,01/03/2024,28/02/2025,533838.00,645943.98,"1850ger@bna.com.ar,1850pop@bna.com.ar"
